customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
1,62.0,Male,East,Post-Graduate,Salaried,298476.2861910112,153155.7777997551,Home,667.1853549152412,2,252,23.358738099968654,2022-08-28,0
2,65.0,Male,East,Graduate,,1249728.4942193474,401039.3093698007,Other,644.8752610709728,3,154,11.944179132871424,2016-11-18,0
3,18.0,Female,West,Secondary,Self-Employed,221956.02553992177,121350.36341395754,Education,450.4994558252395,5,90,25.842355820707052,2012-09-08,1
4,21.0,Male,South,Secondary,Salaried,252900.4591052635,116359.25663128347,Other,,4,85,17.919534231950532,2012-12-15,0
5,21.0,Female,East,Secondary,Salaried,,,Education,713.3967779096166,1,116,46.34911792236387,2023-05-24,0
6,57.0,Female,North,Post-Graduate,Salaried,368042.3743314519,79852.62854395855,Education,790.111908178173,12,229,58.551819698618004,2016-04-01,0
7,27.0,,South,Primary,Salaried,107973.06861041053,53749.65042831375,Business,640.7587535790901,2,40,25.10312850335716,2011-08-19,0
8,37.0,Male,South,Post-Graduate,Unemployed,384355.10062147706,192546.3156945741,Car,685.0353882107974,10,272,57.0020910322739,2011-11-19,0
9,39.0,Male,South,Secondary,Salaried,442752.6530324512,174513.54371618305,Car,810.6415116614963,2,236,23.22672470263692,2011-02-05,0
10,68.0,Female,South,Secondary,Self-Employed,317028.1291222999,154013.78292177134,Car,667.4574400218461,1,201,30.638594143206095,2011-05-07,0
11,54.0,Female,South,Graduate,Self-Employed,160389.54530727156,69237.68192182103,Home,591.0854146539178,8,15,29.818223326054177,2015-12-10,1
12,41.0,Male,North,Graduate,Salaried,87823.04646979882,47121.97116781994,Other,758.5364558455561,1,195,21.72035728544347,2023-07-17,0
13,24.0,Male,South,Primary,Self-Employed,91259.43558033287,45085.447462543074,Business,633.2267773597657,0,116,20.80243641597552,2013-02-01,0
14,42.0,Female,West,Secondary,Unemployed,354824.2674677509,113345.42938790488,Home,669.7026578334551,4,142,23.15064699133948,2015-07-24,0
15,42.0,Female,East,Post-Graduate,Self-Employed,38695.14780988735,8135.878210694018,Other,638.0900368949016,3,82,56.8767404777182,2014-07-17,0
16,30.0,Female,East,Post-Graduate,Unemployed,79695.51003282046,46764.2826170002,Business,795.9286440806654,1,137,29.968090883809374,2023-05-06,0
